,0
a(11),1.0001070833702828
a(22),1.0001816370252885
a_std,1.0010096071402255
a_subj(11).15,1.000065072058411
a_subj(11).16,1.0000362739762678
a_subj(11).17,1.0000068990471815
a_subj(11).24,1.000209670772675
a_subj(11).26,1.000119510226472
a_subj(11).28,1.000006602810445
a_subj(11).30,1.0001219731310138
a_subj(11).34,1.0000388104713784
a_subj(11).36,1.0001890407056682
a_subj(11).38,1.000006388021818
a_subj(11).40,1.0000956646673953
a_subj(11).42,1.0000452578737424
a_subj(11).44,1.0000517334765662
a_subj(11).46,1.000149194155131
a_subj(11).48,1.0000529373831057
a_subj(11).50,1.0000097110460817
a_subj(11).52,1.0000073205752502
a_subj(11).57,1.0000448388682877
a_subj(11).59,1.0000314195296343
a_subj(11).63,1.0000546883049701
a_subj(11).72,1.0000659456368564
a_subj(11).79,1.000055128055151
a_subj(11).83,1.0000767752521542
a_subj(11).87,1.0001044567253494
a_subj(11).92,1.0000321350588692
a_subj(11).94,1.0000542639306937
a_subj(11).95,1.0002576618738415
a_subj(11).97,1.0000092537905585
a_subj(11).100,1.0001065995320513
a_subj(11).105,0.9999911788290394
a_subj(11).107,1.0000746318098679
a_subj(11).108,1.0000250669689081
a_subj(11).109,1.0000400380832646
a_subj(11).112,1.0000361258621684
a_subj(11).117,1.0000441693473985
a_subj(11).118,1.0000870727355418
a_subj(11).119,1.000098668364698
a_subj(11).121,1.0000003464615737
a_subj(11).123,1.0000739438038195
a_subj(11).126,0.9999776105010534
a_subj(11).130,0.9999804638414155
a_subj(11).131,1.000235107534888
a_subj(11).134,1.0001154666341807
a_subj(11).135,1.0000782424680539
a_subj(11).136,1.000036707228996
a_subj(11).142,1.0000817239941353
a_subj(11).145,1.0000299413039044
a_subj(11).146,1.000057104930653
a_subj(11).148,1.0000237141031687
a_subj(11).152,1.0001187855390887
a_subj(11).154,1.000036678848013
a_subj(11).155,1.0000575607214621
a_subj(11).157,1.0000366980590896
a_subj(11).159,1.0000466490636832
a_subj(11).161,1.000054758117981
a_subj(11).176,1.0000021179215899
a_subj(11).178,1.0000576673723447
a_subj(11).179,1.0000287121685334
a_subj(11).181,1.0000774209258927
a_subj(11).183,0.9999984754430377
a_subj(11).184,1.0000734683532755
a_subj(11).186,1.0001039342733662
a_subj(11).189,1.0000230452589742
a_subj(11).193,1.0000238076134542
a_subj(11).194,1.0000748549841545
a_subj(11).196,1.0000850670300054
a_subj(11).1001,1.00012862450393
